Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
294,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10.0,0.10,0.00,0.00,0.10,0.30,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1.80,0.00,0.00,,Matches,ee833569
295,Valon Berisha,xk KVX,MFFW,Reims,fr Ligue 1,28,1993,5.1,0.39,0.20,0.20,2.55,0.39,0.39,5.29,0.78,1.37,0.00,0.00,0.00,4.71,0.78,0.59,57.1,Matches,d5575935
296,Federico Bernardeschi,it ITA,MFFW,Juventus,it Serie A,27,1994,16.4,0.30,0.00,0.00,0.98,1.65,0.24,3.11,0.30,0.61,0.00,0.00,0.00,5.00,0.43,1.04,29.2,Matches,ee93c1a9
297,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13.0,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.69,0.54,0.08,87.5,Matches,28dabd43
298,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,1997,19.0,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.16,0.05,75.0,Matches,28dabd43
299,Juan Bernat,es ESP,DFMF,Paris S-G,fr Ligue 1,28,1993,10.6,0.19,0.00,0.00,0.38,0.85,0.09,1.13,0.75,1.32,0.00,0.00,0.00,3.49,0.75,0.75,50.0,Matches,433dc9a2
300,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,23,1998,9.3,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.22,0.11,66.7,Matches,380a15e2
301,Jason Berthomier,fr FRA,MF,Clermont Foot,fr Ligue 1,31,1990,19.2,0.00,0.00,0.00,0.73,0.78,0.10,6.93,0.42,0.73,0.00,0.00,0.00,5.10,0.57,0.83,40.7,Matches,03e91055
302,Nicolò Bertola,it ITA,MFDF,Spezia,it Serie A,18,2003,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,5.00,0.00,0.00,0.00,10.0,2.50,2.50,50.0,Matches,04b40c58
303,Ryan Bertrand,eng ENG,DF,Leicester City,eng Premier League,31,1989,3.7,0.27,0.00,0.00,0.81,0.27,0.00,3.24,0.27,1.35,0.00,0.00,0.00,2.97,0.27,2.16,11.1,Matches,01226327
304,Daniel Bessa,it ITA,MF,Hellas Verona,it Serie A,28,1993,8.5,0.59,0.12,0.12,2.47,1.41,0.24,2.00,0.59,0.24,0.00,0.00,0.00,9.88,0.94,0.82,53.3,Matches,88895312
305,Beto,gw GNB,FW,Udinese,it Serie A,23,1998,24.1,0.04,0.00,0.00,2.16,1.00,0.54,0.08,0.21,0.25,0.00,0.00,0.00,2.24,3.03,5.10,37.2,Matches,ed5c0319
306,Louis Beyer,de GER,DF,M'Gladbach,de Bundesliga,21,2000,15.4,0.32,0.00,0.00,1.04,1.36,0.00,0.52,0.97,1.75,0.00,0.06,0.00,6.23,1.75,1.49,54.0,Matches,9af1f9ff
307,Bartosz Bialek,pl POL,FWDF,Wolfsburg,de Bundesliga,19,2001,2.0,0.50,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.50,4.00,38.5,Matches,763b8b37
308,Giulian Biancone,fr FRA,DFMF,Troyes,fr Ligue 1,21,2000,25.5,0.39,0.00,0.00,1.33,1.25,0.16,3.41,2.08,1.65,0.00,0.08,0.00,5.76,1.88,1.33,58.5,Matches,de40e38c
309,Ermin Bičakčić,ba BIH,DF,Hoffenheim,de Bundesliga,31,1990,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,7aac47fe
310,Mads Bidstrup,dk DEN,MF,Brentford,eng Premier League,20,2001,0.5,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,,Matches,407db0d5
311,Pedro Bigas,es ESP,DF,Elche,es La Liga,30,1990,17.2,0.35,0.00,0.00,0.93,0.64,0.00,0.12,1.05,0.58,0.00,0.00,0.00,4.24,2.03,0.64,76.1,Matches,697295b1
312,El Bilal Touré,ml MLI,FW,Reims,fr Ligue 1,19,2001,13.3,0.15,0.00,0.00,1.50,1.05,0.45,0.30,0.45,0.45,0.00,0.00,0.00,2.78,4.44,4.36,50.4,Matches,47c609d5
313,Jean-Claude Billong,cm CMR,DF,Clermont Foot,fr Ligue 1,27,1993,10.9,0.18,0.00,0.00,0.64,0.83,0.00,0.09,0.92,0.73,0.00,0.00,0.00,5.23,2.66,0.83,76.3,Matches,a3e1d20d
314,Luis Binks,eng ENG,DF,Bologna,it Serie A,19,2001,7.2,0.42,0.00,0.00,0.97,0.83,0.00,0.14,2.36,0.56,0.00,0.00,0.00,4.86,2.64,1.81,59.4,Matches,36e88fbc
315,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,28,1992,35.0,0.14,0.03,0.03,0.80,1.09,0.20,7.94,0.54,0.69,0.00,0.00,0.03,4.94,0.11,0.46,20.0,Matches,9e1577aa
316,Davide Biraschi,it ITA,DF,Genoa,it Serie A,27,1994,10.3,0.39,0.00,0.00,1.17,1.07,0.10,1.36,1.55,1.55,0.00,0.00,0.00,5.15,2.04,1.55,56.8,Matches,64cd167d
317,Tom Bischof,de GER,MF,Hoffenheim,de Bundesliga,16,2005,0.2,0.00,0.00,0.00,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,07d3bfec
318,Yves Bissouma,ml MLI,MF,Brighton,eng Premier League,24,1996,23.5,0.43,0.00,0.00,1.28,0.81,0.00,0.09,2.13,2.09,0.00,0.04,0.00,6.85,0.68,0.64,51.6,Matches,6c203af0
319,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,fr Ligue 1,18,2002,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,0f697e02
320,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38.0,0.03,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.89,0.11,0.03,80.0,Matches,3d214e5f
321,Bjarki Bjarkason,is ISL,MF,Venezia,it Serie A,21,2000,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches,f1d25de7
322,Blanco,es ESP,MF,Real Madrid,es La Liga,21,2000,0.3,0.00,0.00,0.00,3.33,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,13.3,0.00,3.33,0.0,Matches,506daeac
323,Ludovic Blas,fr FRA,MFFW,Nantes,fr Ligue 1,23,1997,32.9,0.30,0.00,0.00,1.37,1.67,0.12,1.12,0.94,0.55,0.03,0.00,0.00,5.23,0.52,0.88,37.0,Matches,6191093d
324,Danny Blum,de GER,FWMF,Bochum,de Bundesliga,30,1991,3.8,0.00,0.00,0.00,0.79,0.79,0.00,8.16,0.53,0.26,0.00,0.00,0.00,6.05,3.68,2.89,56.0,Matches,eb61713c
325,Myron Boadu,nl NED,FW,Monaco,fr Ligue 1,20,2001,10.7,0.00,0.00,0.00,1.59,1.03,1.12,0.00,0.19,0.65,0.00,0.00,0.00,1.87,1.40,2.71,34.1,Matches,5b479568
326,Jérôme Boateng,de GER,DF,Lyon,fr Ligue 1,32,1988,18.0,0.33,0.00,0.00,0.72,0.17,0.00,0.28,1.11,0.83,0.00,0.00,0.00,5.94,1.00,0.39,72.0,Matches,2db2fd7b
327,Kevin-Prince Boateng,gh GHA,MFFW,Hertha BSC,de Bundesliga,34,1987,7.7,1.04,0.00,0.00,2.73,2.73,0.13,0.65,0.78,0.65,0.00,0.00,0.00,5.71,3.38,2.21,60.5,Matches,f4ec4fd0
328,Antonin Bobichon,fr FRA,MFFW,Angers,fr Ligue 1,25,1995,0.4,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2.50,0.00,0.00,0.00,0.00,12.5,0.00,5.00,0.0,Matches,7d937aa1
329,Herbert Bockhorn,de GER,DF,Bochum,de Bundesliga,26,1995,9.4,0.11,0.00,0.00,0.74,2.23,0.00,2.87,1.49,1.49,0.00,0.00,0.00,7.87,1.17,1.60,42.3,Matches,5ad8c360
330,Jean-Paul Boëtius,nl NED,MF,Mainz 05,de Bundesliga,27,1994,20.0,0.15,0.00,0.00,1.00,2.00,0.05,2.50,1.25,1.15,0.00,0.00,0.00,6.30,0.35,1.15,23.3,Matches,635f2732
331,Jeremie Boga,ci CIV,MFFW,Atalanta,it Serie A,24,1997,8.5,0.00,0.00,0.00,0.12,2.00,0.35,2.82,0.12,0.35,0.00,0.00,0.00,4.35,0.35,0.71,33.3,Matches,fe012aca
332,Jeremie Boga,ci CIV,MFFW,Sassuolo,it Serie A,24,1997,7.4,0.00,0.00,0.00,0.14,1.22,0.27,0.95,0.27,0.54,0.14,0.00,0.00,3.38,0.27,0.68,28.6,Matches,fe012aca
333,Luka Bogdan,hr CRO,DF,Salernitana,it Serie A,25,1996,4.4,0.00,0.00,0.00,0.45,0.23,0.00,0.23,1.36,0.68,0.00,0.00,0.00,4.09,1.36,1.82,42.9,Matches,cb678320
334,Emil Bohinen,no NOR,MF,Salernitana,it Serie A,22,1999,7.8,0.64,0.00,0.00,2.05,1.67,0.13,2.56,1.54,1.15,0.00,0.00,0.00,7.82,0.77,1.67,31.6,Matches,c83c203f
335,Quentin Boisgard,fr FRA,MFFW,Lorient,fr Ligue 1,24,1997,10.6,0.28,0.00,0.00,1.04,0.85,0.00,4.34,0.57,1.04,0.00,0.00,0.00,6.60,0.85,1.60,34.6,Matches,f6496133
336,Charles Boli,fr FRA,MFDF,Lens,fr Ligue 1,22,1998,0.4,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,2.50,0.00,0.00,0.00,5.00,2.50,0.00,100.0,Matches,bbdd999a
337,Willy Boly,ci CIV,DF,Wolves,eng Premier League,30,1991,10.0,0.10,0.00,0.00,0.70,0.20,0.10,0.00,1.40,1.90,0.00,0.10,0.00,6.20,2.00,2.00,50.0,Matches,a4ac4b8f
338,Giacomo Bonaventura,it ITA,MF,Fiorentina,it Serie A,31,1989,25.2,0.32,0.04,0.04,1.23,1.94,0.08,1.43,0.56,0.67,0.08,0.00,0.00,5.60,0.63,0.63,50.0,Matches,d995ed27
339,Federico Bonazzoli,it ITA,FWMF,Salernitana,it Serie A,24,1997,20.7,0.29,0.00,0.00,1.50,3.19,0.29,1.11,0.29,0.58,0.00,0.00,0.00,3.67,0.53,1.16,31.4,Matches,bf57eaab
340,Tarsis Bonga,de GER,MFFW,Bochum,de Bundesliga,24,1997,0.2,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,15.0,5.00,5.00,50.0,Matches,6ebbc28a
341,Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,25,1996,13.4,0.30,0.07,0.07,1.12,0.75,0.00,0.22,1.19,1.19,0.00,0.07,0.07,7.24,2.54,1.34,65.4,Matches,fb77bfef
342,Solomon Bonnah,nl NED,DF,RB Leipzig,de Bundesliga,17,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,dd7b6eb8
343,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,34,1987,22.3,0.04,0.00,0.00,0.76,0.36,0.04,0.13,1.17,0.22,0.00,0.04,0.00,4.26,1.97,1.57,55.7,Matches,52ec54d0
344,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,22,1999,22.3,0.18,0.00,0.00,0.99,0.22,0.09,0.00,1.88,0.85,0.00,0.04,0.00,4.80,2.83,2.11,57.3,Matches,01834aa0
345,Rafael Borré,co COL,FWMF,Eint Frankfurt,de Bundesliga,25,1995,26.4,0.19,0.00,0.00,1.52,0.98,0.64,0.76,0.19,0.83,0.00,0.00,0.00,3.37,1.74,4.70,27.1,Matches,c68da769
346,Sven Botman,nl NED,DF,Lille,fr Ligue 1,21,2000,25.0,0.16,0.00,0.00,0.64,0.52,0.04,0.00,1.04,0.44,0.00,0.08,0.00,4.52,2.28,1.12,67.1,Matches,ccce7025
347,Denis Bouanga,ga GAB,FWMF,Saint-Étienne,fr Ligue 1,26,1994,27.1,0.15,0.04,0.00,1.85,1.77,0.18,2.47,0.30,0.92,0.00,0.00,0.00,5.20,2.47,3.47,41.6,Matches,0b0cbe5b
348,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,21,1999,18.0,0.39,0.00,0.00,1.67,1.17,0.22,2.72,1.00,1.00,0.00,0.00,0.00,5.72,0.72,0.89,44.8,Matches,f9d5908e
349,Ryad Boudebouz,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,31,1990,25.0,0.08,0.00,0.00,0.56,1.16,0.00,4.24,0.40,0.60,0.00,0.00,0.00,5.28,0.48,2.56,15.8,Matches,1001ae82
350,Sofiane Boufal,ma MAR,FWMF,Angers,fr Ligue 1,27,1993,25.9,0.23,0.00,0.00,1.70,3.09,0.58,4.17,0.27,1.12,0.08,0.00,0.00,3.28,0.46,1.43,24.5,Matches,b0c71810
351,Farid Boulaya,dz ALG,MFFW,Metz,fr Ligue 1,28,1993,17.0,0.06,0.06,0.00,0.41,1.00,0.06,4.18,0.71,0.59,0.00,0.00,0.00,5.88,0.53,1.12,32.1,Matches,a0791826
352,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,1991,31.0,0.06,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94,0.23,0.03,87.5,Matches,f6798fc3
353,Ismaëlben Boura,fr FRA,DF,Lens,fr Ligue 1,20,2000,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.91,1.82,1.82,0.00,0.00,0.00,1.82,0.91,0.00,100.0,Matches,62e02107
354,Mehdi Bourabia,ma MAR,MF,Spezia,it Serie A,29,1991,3.1,0.00,0.00,0.00,1.94,1.94,0.00,0.97,0.97,0.32,0.00,0.00,0.00,6.45,0.32,0.65,33.3,Matches,0d077b88
355,Benjamin Bourigeaud,fr FRA,MFFW,Rennes,fr Ligue 1,27,1994,35.5,0.06,0.00,0.00,0.70,0.23,0.11,8.28,0.85,0.68,0.00,0.00,0.00,4.06,0.39,1.27,23.7,Matches,20e73fac
356,Redwan Bourles,fr FRA,MFFW,Lorient,fr Ligue 1,18,2003,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,50.0,Matches,5c7895a0
357,Edoardo Bove,it ITA,MFDF,Roma,it Serie A,19,2002,0.8,0.00,0.00,0.00,1.25,3.75,0.00,2.50,1.25,1.25,0.00,0.00,0.00,5.00,0.00,3.75,0.0,Matches,ae94a6c5
358,Jarrod Bowen,eng ENG,MF,West Ham,eng Premier League,24,1996,33.1,0.18,0.00,0.00,0.76,1.30,0.42,4.26,0.63,0.60,0.06,0.00,0.00,4.56,1.15,1.96,36.9,Matches,79c84d1c
359,Dedryck Boyata,be BEL,DF,Hertha BSC,de Bundesliga,30,1990,21.1,0.05,0.05,0.00,0.52,0.28,0.14,0.00,0.81,0.62,0.05,0.00,0.00,4.41,2.46,1.52,61.9,Matches,7c473e12
360,Lucas Boyé,ar ARG,FW,Elche,es La Liga,25,1996,19.0,0.16,0.00,0.00,2.05,2.11,0.68,0.37,0.11,0.68,0.00,0.00,0.00,3.42,1.63,2.79,36.9,Matches,d49f3e6b
361,Domagoj Bradarić,hr CRO,DF,Lille,fr Ligue 1,21,1999,4.6,0.43,0.00,0.00,1.09,1.52,0.00,4.57,2.17,1.96,0.00,0.00,0.00,5.87,1.09,3.26,25.0,Matches,8bbe2df5
362,Bilal Brahimi,dz ALG,MF,Nice,fr Ligue 1,21,2000,4.2,0.24,0.00,0.00,0.95,2.38,0.48,10.7,0.48,0.24,0.00,0.00,0.00,5.71,0.48,0.24,66.7,Matches,02bcaf8e
363,Bilal Brahimi,dz ALG,FW,Angers,fr Ligue 1,21,2000,3.8,0.00,0.00,0.00,0.53,2.37,0.26,2.89,0.26,0.26,0.26,0.00,0.00,3.42,0.53,1.32,28.6,Matches,02bcaf8e
364,Martin Braithwaite,dk DEN,FW,Barcelona,es La Liga,30,1991,2.6,0.00,0.00,0.00,1.92,0.77,0.77,0.77,0.38,0.38,0.00,0.00,0.00,2.69,1.15,2.31,33.3,Matches,fd771f95
365,Julian Brandt,de GER,MF,Dortmund,de Bundesliga,25,1996,23.1,0.13,0.00,0.00,0.52,0.69,0.09,5.54,1.04,0.82,0.00,0.00,0.00,5.58,0.65,1.04,38.5,Matches,a167537f
366,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,19,2002,4.3,0.00,0.23,0.00,0.70,0.93,0.00,0.00,0.23,0.23,0.00,0.00,0.00,5.58,2.56,1.16,68.8,Matches,c1949191
367,Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,29,1992,26.7,0.30,0.00,0.00,1.95,0.90,0.34,1.01,0.94,0.82,0.00,0.00,0.00,5.36,1.24,2.21,35.9,Matches,4accb7e0
368,Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,21,1999,25.1,0.16,0.00,0.00,0.96,0.68,0.00,0.68,1.27,0.96,0.00,0.04,0.04,6.10,1.67,0.76,68.9,Matches,5b146df3
369,Claudio Bravo,cl CHI,GK,Betis,es La Liga,38,1983,16.2,0.12,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.06,0.00,1.23,0.37,0.06,85.7,Matches,10072610
370,Iker Bravo,es ESP,FWMF,Leverkusen,de Bundesliga,16,2005,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,,Matches,db8c8860
371,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,26,1995,4.0,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.25,0.25,50.0,Matches,d28339cb
372,Josip Brekalo,hr CRO,MF,Torino,it Serie A,23,1998,25.4,0.04,0.00,0.00,0.79,0.83,0.20,5.31,0.16,0.20,0.00,0.00,0.00,5.04,0.67,1.22,35.4,Matches,d4a2533d
373,Josip Brekalo,hr CRO,MF,Wolfsburg,de Bundesliga,23,1998,0.2,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,,Matches,d4a2533d
374,Gleison Bremer,br BRA,DF,Torino,it Serie A,24,1997,32.1,0.22,0.00,0.00,2.06,0.62,0.16,0.03,3.27,0.75,0.00,0.00,0.00,8.85,4.08,4.58,47.1,Matches,5fd5ed86
375,Jimmy Briand,fr FRA,FWMF,Bordeaux,fr Ligue 1,35,1985,2.5,0.40,0.00,0.00,2.00,0.00,0.40,0.80,0.40,0.00,0.00,0.00,0.00,5.20,2.40,4.80,33.3,Matches,f83c8d6c
376,Yan Brice Eteki,cm CMR,MF,Granada,es La Liga,23,1997,3.8,0.79,0.00,0.00,4.74,1.32,0.00,0.00,1.05,0.79,0.00,0.00,0.00,5.53,1.84,1.84,50.0,Matches,3d688b46
377,Brian Brobbey,nl NED,FWMF,RB Leipzig,de Bundesliga,19,2002,1.5,0.00,0.00,0.00,2.00,1.33,0.00,0.67,0.00,0.00,0.00,0.00,0.00,4.67,2.67,2.67,50.0,Matches,4c184730
378,Armando Broja,al ALB,FW,Southampton,eng Premier League,19,2001,21.9,0.09,0.00,0.00,1.32,1.19,0.59,0.37,0.14,0.23,0.05,0.00,0.00,3.70,4.02,7.58,34.6,Matches,97220da2
379,Dylan Bronn,tn TUN,DF,Metz,fr Ligue 1,26,1995,28.3,0.35,0.04,0.04,1.10,0.39,0.11,0.42,1.41,1.02,0.00,0.00,0.00,5.80,0.99,0.99,50.0,Matches,edd81e2a
380,John Brooks,us USA,DF,Wolfsburg,de Bundesliga,28,1993,29.1,0.07,0.00,0.00,0.31,0.55,0.03,0.14,1.41,0.86,0.00,0.03,0.00,6.46,2.30,1.27,64.4,Matches,e27da244
381,Daniel Brosinski,de GER,DF,Mainz 05,de Bundesliga,33,1988,4.3,0.00,0.00,0.00,0.23,0.70,0.00,5.35,0.70,0.23,0.00,0.00,0.00,6.28,1.40,0.70,66.7,Matches,a7813ac4
382,Josh Brownhill,eng ENG,MF,Burnley,eng Premier League,25,1995,32.8,0.30,0.00,0.00,1.19,0.61,0.00,1.62,2.07,1.13,0.00,0.00,0.00,6.04,1.43,0.98,59.5,Matches,47369df8
383,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,28,1992,32.6,0.21,0.00,0.00,1.32,0.98,0.00,0.71,1.13,1.38,0.00,0.00,0.00,7.73,0.40,0.74,35.1,Matches,33b8d077
384,Cédric Brunner,ch SUI,DF,Arminia,de Bundesliga,27,1994,24.3,0.25,0.00,0.00,1.44,0.99,0.00,2.88,1.77,1.44,0.00,0.04,0.00,6.46,1.85,1.52,54.9,Matches,f0a37d36
385,Lewis Brunt,eng ENG,MF,Leicester City,eng Premier League,20,2000,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,3.33,0.0,Matches,a2081c6b
386,Jacob Bruun Larsen,dk DEN,MFFW,Hoffenheim,de Bundesliga,22,1998,9.0,0.11,0.00,0.00,0.67,0.33,0.67,1.11,0.56,0.11,0.00,0.00,0.00,3.89,1.00,1.78,36.0,Matches,4e204552
387,Bryan,es ESP,MFDF,Tottenham,eng Premier League,20,2001,1.0,0.00,0.00,0.00,1.00,4.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,12.0,0.00,1.00,0.0,Matches,7b5ab7f2
388,Bryan,es ESP,MFFW,Valencia,es La Liga,20,2001,8.4,0.36,0.00,0.00,1.55,2.38,0.83,5.24,0.12,0.95,0.00,0.00,0.00,6.43,0.12,0.83,12.5,Matches,7b5ab7f2
389,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,30,1991,19.3,0.16,0.00,0.00,1.92,1.66,0.83,0.36,0.16,0.52,0.05,0.00,0.00,2.59,5.49,5.13,51.7,Matches,8f3565b3
390,Emi Buendía,ar ARG,MFFW,Aston Villa,eng Premier League,24,1996,21.1,0.05,0.00,0.00,0.81,2.09,0.14,1.61,0.43,0.85,0.00,0.05,0.00,5.21,0.90,1.66,35.2,Matches,66b76d44
391,Osman Bukari,gh GHA,MFFW,Nantes,fr Ligue 1,22,1998,11.2,0.09,0.00,0.00,1.25,0.54,0.45,1.34,0.71,0.71,0.00,0.00,0.00,6.25,0.80,1.16,40.9,Matches,eab85789
392,Aleksander Buksa,pl POL,FW,Genoa,it Serie A,18,2003,0.7,0.00,0.00,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.71,4.29,4.29,50.0,Matches,59f2d958
393,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,22,1999,13.1,0.38,0.00,0.00,2.06,1.22,0.08,0.46,2.37,0.69,0.00,0.08,0.00,4.58,4.05,2.06,66.3,Matches,4ae67f27
394,Sascha Burchert,de GER,GK,Greuther Fürth,de Bundesliga,31,1989,14.0,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.93,0.14,0.00,100.0,Matches,25bdea4b
395,Delano Burgzorg,nl NED,MF,Mainz 05,de Bundesliga,22,1998,0.3,0.00,0.00,0.00,3.33,0.00,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,6.67,0.0,Matches,05e2d5ea
396,Jonathan Burkardt,de GER,FWMF,Mainz 05,de Bundesliga,21,2000,29.0,0.00,0.00,0.00,0.83,1.45,0.34,1.21,0.28,0.28,0.00,0.00,0.00,3.66,1.24,2.79,30.8,Matches,05f99a4a
397,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,30,1990,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,,Matches,9d12e142
398,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,29,1992,16.0,0.25,0.00,0.00,0.69,0.38,0.31,0.00,1.25,0.63,0.00,0.00,0.00,4.56,4.25,1.94,68.7,Matches,b2d31e83
399,Dan Burn,eng ENG,DF,Brighton,eng Premier League,29,1992,11.4,0.35,0.00,0.00,1.32,0.00,0.00,0.09,2.11,1.05,0.00,0.00,0.00,4.91,2.81,1.84,60.4,Matches,b2d31e83
400,Maxime Busi,be BEL,DF,Reims,fr Ligue 1,21,1999,14.4,0.21,0.00,0.00,1.32,0.49,0.00,2.08,1.18,1.04,0.00,0.00,0.00,5.35,0.76,1.32,36.7,Matches,7b082ec2
401,Gianluca Busio,us USA,MF,Venezia,it Serie A,19,2002,21.7,0.37,0.00,0.00,1.43,0.78,0.00,1.75,0.97,1.29,0.00,0.00,0.00,4.56,1.43,1.52,48.4,Matches,4a0b7f07
402,Oriol Busquets,es ESP,MF,Clermont Foot,fr Ligue 1,22,1999,2.2,0.00,0.00,0.00,0.91,0.00,0.00,0.45,0.45,1.36,0.00,0.00,0.00,5.00,0.45,2.27,16.7,Matches,49712367
403,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,33,1988,35.5,0.34,0.00,0.00,1.49,1.89,0.06,0.08,1.27,1.38,0.00,0.00,0.00,7.92,1.61,1.92,45.6,Matches,5ab0ea87
404,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,28,1993,8.5,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.12,0.24,33.3,Matches,cc70a1d5
405,Adrián Butzke,es ESP,FW,Granada,es La Liga,22,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,505dce2b
406,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,21,1999,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,,Matches,db87a2c4
407,Jamie Bynoe-Gittens,eng ENG,MF,Dortmund,de Bundesliga,16,2004,1.5,0.00,0.00,0.00,1.33,4.00,0.00,0.00,0.67,1.33,0.00,0.00,0.00,3.33,1.33,1.33,50.0,Matches,10745192
408,Sam Byram,eng ENG,DF,Norwich City,eng Premier League,27,1993,11.4,0.26,0.00,0.00,1.05,0.35,0.00,0.79,1.93,1.32,0.00,0.09,0.00,5.00,2.46,2.46,50.0,Matches,1bf811d4
409,Erick Cabaco,uy URU,DF,Getafe,es La Liga,26,1995,4.5,0.89,0.22,0.22,1.56,0.89,0.00,0.22,0.89,0.22,0.00,0.00,0.22,3.11,1.78,1.33,57.1,Matches,e7ab4179
410,Willy Caballero,ar ARG,GK,Southampton,eng Premier League,39,1981,2.0,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.50,0.0,Matches,a179d516
411,Rémy Cabella,fr FRA,MF,Montpellier,fr Ligue 1,31,1990,3.5,0.00,0.00,0.00,0.86,0.86,0.00,2.29,1.43,2.00,0.00,0.00,0.00,5.71,0.00,0.86,0.0,Matches,148e136f
412,Jimmy Cabot,fr FRA,DF,Angers,fr Ligue 1,27,1994,22.3,0.18,0.00,0.00,1.43,1.43,0.04,3.09,1.43,1.97,0.04,0.00,0.00,8.07,0.49,0.54,47.8,Matches,46359159
