Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1,Matches,774cf58b
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,48,27,34,14,0,16,32,50.0,16,50,25,25,68,116,104,0,Matches,32c2d95f
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0,Matches,82464ce3
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0,Matches,31626657
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches,469d3d84
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,11,7,4,5,2,2,10,20.0,8,12,1,11,4,15,8,0,Matches,cadd666a
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches,0e46fa2f
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0,Matches,f586779e
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,6,3,3,3,0,2,4,50.0,2,6,5,1,5,11,37,1,Matches,1f462f95
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0,Matches,b96b595c
11,Ragnar Ache,de GER,MFFW,Eint Frankfurt,de Bundesliga,23,1998,2.9,2,0,0,1,1,1,4,25.0,3,3,0,3,0,2,1,0,Matches,dc38e3bc
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,1e93fc5d
13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,50,29,27,14,9,30,47,63.8,17,22,5,17,14,64,25,1,Matches,81442ecb
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,13,6,5,5,3,2,16,12.5,14,18,2,16,8,21,18,0,Matches,f2bf1b0f
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,23,7,5,16,2,7,25,28.0,18,24,1,23,16,39,19,2,Matches,2b09d998
16,Sargis Adamyan,am ARM,MFFW,Hoffenheim,de Bundesliga,28,1993,3.7,8,6,3,4,1,3,11,27.3,8,4,0,4,1,9,2,0,Matches,22919e97
17,Martin Adeline,fr FRA,MFFW,Reims,fr Ligue 1,17,2003,3.9,15,11,5,8,2,8,16,50.0,8,0,0,0,11,26,6,0,Matches,7587446d
18,Amine Adli,fr FRA,MFFW,Leverkusen,de Bundesliga,21,2000,14.0,27,14,10,14,3,8,15,53.3,7,26,2,24,11,38,12,0,Matches,dcfb17f4
19,Yacine Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,21,2000,25.1,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2,Matches,26777636
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,14,5,5,8,1,6,11,54.5,5,4,1,3,6,20,3,0,Matches,f9c927de
21,Felix Afena-Gyan,gh GHA,FWMF,Roma,it Serie A,18,2003,7.4,10,3,1,6,3,4,7,57.1,3,4,0,4,3,13,0,0,Matches,0154d290
22,Martin Agirregabiria,es ESP,DFMF,Alavés,es La Liga,25,1996,18.0,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0,Matches,355c883a
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,a2c1a8d3
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,51,31,24,20,7,23,45,51.1,22,29,9,20,52,103,27,1,Matches,8bc8829a
25,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,22,1998,13.7,44,26,13,26,5,7,20,35.0,13,22,0,22,8,52,6,0,Matches,46fa7204
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1,Matches,288e1e13
